sex,age,ageCat6,ageCat3,maritalStatus,eduLevelW8,eduLevelISCED,employmentStatus,wave,countryCode,numericCountryCode,impFamily,impFriends,impLeisure,impPolitics,impWork,impReligion
1,41,3,2,1,-4,-4,1,2,ARG,32,1,2,2,3,2,4
2,65,6,3,1,-4,-4,5,2,ARG,32,1,3,3,4,2,1
1,22,1,1,1,-4,-4,1,2,ARG,32,1,1,1,2,1,2
2,34,3,2,2,-4,-4,1,2,ARG,32,1,2,1,4,1,3
1,55,5,3,3,-4,-4,3,2,ARG,32,1,1,2,1,1,1
2,28,2,1,1,-4,-4,2,2,ARG,32,1,2,2,2,1,1
2,27,2,1,4,-4,-4,1,2,ARG,32,1,1,1,1,1,1
2,61,5,3,3,-4,-4,3,2,ARG,32,1,1,1,1,1,1
2,47,4,2,1,-4,-4,1,2,ARG,32,1,1,1,1,1,1
2,26,2,1,1,-4,-4,2,2,ARG,32,1,1,1,1,1,1
2,46,4,2,4,-4,-4,1,2,ARG,32,1,1,1,1,1,1
1,19,1,1,1,-4,-4,6,2,ARG,32,1,2,2,4,4,2
2,33,3,2,1,3,-4,1,2,ARG,32,1,1,2,2,1,2
1,50,4,2,2,5,-4,1,2,ARG,32,1,2,1,3,1,3
2,38,3,2,1,4,-4,1,2,ARG,32,2,1,2,4,1,1
1,72,6,3,5,2,-4,4,2,ARG,32,1,3,4,4,5,1
2,24,1,1,1,6,-4,1,2,ARG,32,1,1,1,2,2,3
1,44,4,2,2,4,-4,1,2,ARG,32,1,2,2,3,1,2
2,58,5,3,1,3,-4,3,2,ARG,32,1,1,2,4,2,2
1,31,2,1,1,5,-4,1,2,ARG,32,1,2,1,3,1,4
2,67,6,3,3,2,-4,4,2,ARG,32,1,2,3,4,5,1
1,42,3,2,1,4,-4,1,2,ARG,32,1,1,2,3,1,2
2,21,1,1,1,6,-4,6,2,ARG,32,1,1,1,4,4,3
1,53,4,2,2,5,-4,1,2,ARG,32,1,2,2,2,1,1
2,36,3,2,1,4,-4,1,2,ARG,32,1,1,1,3,1,2
1,29,2,1,1,5,-4,2,2,ARG,32,1,2,2,4,2,3
2,48,4,2,2,3,-4,1,2,ARG,32,1,1,2,3,1,2
1,60,5,3,1,4,-4,3,2,ARG,32,1,2,2,4,2,1
2,25,2,1,1,6,-4,1,2,ARG,32,1,1,1,2,1,4
1,39,3,2,2,5,-4,1,2,ARG,32,1,2,1,3,1,2
